player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,strikeouts,grounded_into_double_play,sacrifice_flies,sacrifice_hits,errors,batting_average,slugging_percentage,on_base_percentage,on_base_plus_slugging,as_of_date,is_partial,age_was_corrected,height_cm,weight_kg
54400,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54400,디아즈,30,1996-11-19,1B,L/L,188cm/105kg,도미니카 Daniel Smith(고),24 삼성 자유선발,2026,삼성,88,395,344,55,103,21,0,16,172,75,2,0,46,1,60,9,4,0,4,0.299,0.5,0.38,0.88,2026-07-20,True,True,188,105
54529,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54529,레이예스,32,1994-10-05,OF,S/R,196cm/87kg,베네수엘라 Dr. Felipe Guevara(고),24 롯데 자유선발,2026,롯데,88,387,346,45,120,20,1,12,178,64,1,1,36,2,42,6,3,0,3,0.347,0.514,0.408,0.922,2026-07-20,True,True,196,87
54598,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54598,이호준,22,2004-03-20,SS,L/R,172cm/72kg,대구옥산초-대구경운중-대구상원고,24 롯데 3라운드 23순위,2026,롯데,42,43,36,4,3,1,0,0,4,1,1,1,7,0,11,0,0,0,1,0.083,0.111,0.233,0.344,2026-07-20,True,True,172,72
54610,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54610,성영탁,22,2004-07-28,P,R/R,180cm/89kg,동주초(부산서구리틀)-개성중-부산고,24 KIA 10라운드 96순위,2026,KIA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,True,180,89
54730,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54730,페라자,28,1998-11-10,OF,S/R,175cm/88kg,베네수엘라 San Isidro Labrador(고),24 한화 자유선발,2026,한화,86,384,318,72,97,22,1,18,175,55,8,3,57,3,75,6,4,2,2,0.305,0.55,0.411,0.961,2026-07-20,True,True,175,88
54768,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54768,조동욱,22,2004-11-02,P,L/L,190cm/82kg,소래초-영남중-장충고,24 한화 2라운드 11순위,2026,한화,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,True,190,82
54795,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54795,황영묵,27,1999-10-16,2B,L/R,177cm/80kg,수진초-성일중-충훈고,24 한화 4라운드 31순위,2026,한화,50,103,84,11,20,5,1,0,27,16,2,2,14,2,18,3,0,3,4,0.238,0.321,0.36,0.681,2026-07-20,True,True,177,80
54808,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54808,변건우,21,2005-07-15,P,R/R,181cm/80kg,화도초(남양주시B리틀)-충암중-충암고,24 SSG 11라운드 110순위,2026,SSG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,False,181,80
54812,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54812,정준재,23,2003-01-03,2B,L/R,165cm/68kg,상인천초-동인천중-강릉고-동국대(얼리 드래프트),24 SSG 5라운드 50순위,2026,SSG,87,356,301,45,84,9,6,1,108,27,14,4,33,5,49,4,5,12,2,0.279,0.359,0.355,0.714,2026-07-20,True,True,165,68
54910,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54910,김준원,21,2005-05-31,P,R/R,190cm/82kg,칠성초-대구중-경북고,24 NC 11라운드 105순위,2026,NC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,False,190,82
54944,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54944,데이비슨,35,1991-03-26,1B,R/R,190cm/104kg,미국 Yucaipa(고),24 NC 자유선발,2026,키움,71,287,252,28,75,14,1,9,118,46,1,0,14,19,64,5,2,0,4,0.298,0.468,0.376,0.844,2026-07-20,True,True,190,104
55005,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55005,오서진,20,2006-02-22,2B,R/R,188cm/80kg,수원신곡초-수원북중-유신고,25 KT 6라운드 59순위,2026,KT,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,2026-07-20,True,True,188,80
