player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,earned_run_average,games,complete_games,shutouts,wins,losses,saves,holds,winning_percentage,batters_faced,innings_pitched_display,hits_allowed,home_runs_allowed,walks_allowed,hit_batters,strikeouts,runs_allowed,earned_runs,age_was_corrected,height_cm,weight_kg,innings_pitched_outs
99314,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=99314,송신영,37,1977-03-01,P,R/R,180cm/88kg,재동초-중앙중-중앙고-고려대-현대-히어로즈-LG-한화-NC-히어로즈-한화,99 현대 2차 11라운드 88순위,2014,넥센,6.59,41,0,0,2,1,0,2,0.667,197,42 1/3,57,7,16,4,28,33,31,False,180,88,127
99445,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=99445,권오준,34,1980-03-09,P,R/R,182cm/80kg,화곡초-선린중-선린정보고-삼성,99 삼성 2차 1라운드 6순위,2014,삼성,18.0,1,0,0,0,0,0,0,,6,1,3,0,0,0,0,2,2,False,182,80,3
99563,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=99563,김사율,34,1980-04-17,P,R/R,181cm/95kg,감천초-대신중-경남상고-롯데,99 롯데 2차 1라운드 1순위,2014,롯데,5.79,33,0,0,2,5,0,2,0.286,358,79 1/3,95,13,30,3,71,55,51,False,181,95,238
99737,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=99737,박정진,38,1976-05-27,P,L/L,183cm/88kg,청주중앙초-청주중-세광고-연세대-한화,99 한화 1차,2014,한화,6.02,60,0,0,4,4,9,7,0.5,224,49 1/3,54,5,25,1,51,39,33,False,183,88,148
60146,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=60146,이승현,24,1991-11-20,P,R/R,181cm/92kg,화순초-진흥중-화순고-LG,10 LG 2라운드 16순위,2015,LG,5.87,15,0,0,0,0,0,0,,71,15 1/3,14,1,10,1,21,10,10,False,181,92,46
60181,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60181,김지용,27,1988-02-20,P,R/R,174cm/86kg,이문초(노원구리틀)-청량중-중앙고-강릉영동대-LG-두산,10 LG 9라운드 65순위,2015,LG,4.13,24,0,0,1,1,0,0,0.5,137,32 2/3,30,4,12,1,28,15,15,False,174,86,98
60255,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60255,장민익,24,1991-02-05,P,L/L,207cm/99kg,순천북초-순천이수중-효천고-두산,10 두산 1라운드 7순위,2015,두산,29.25,4,0,0,0,0,0,0,,31,4,11,4,8,0,4,14,13,False,207,99,12
60263,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=60263,이재학,25,1990-10-04,P,R/R,181cm/84kg,대구옥산초-경복중-대구고-두산,10 두산 2라운드 10순위,2015,NC,4.1,29,0,0,10,8,0,1,0.556,545,125,115,17,58,9,116,58,57,False,181,84,375
60264,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60264,정대현,24,1991-07-19,P,L/L,186cm/97kg,인천서림초-청원중-성남고-두산-KT-넥센-키움,10 두산 3라운드 23순위,2015,KT,5.19,30,0,0,5,11,0,0,0.313,542,118,138,19,62,4,82,80,68,False,186,97,354
60336,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60336,문성현,24,1991-11-09,P,R/R,182cm/89kg,남정초-선린중-충암고-히어로즈-상무-히어로즈-키움,10 넥센 4라운드 31순위,2015,넥센,6.28,34,0,0,0,5,0,1,0.0,425,91 2/3,114,10,39,5,58,75,64,False,182,89,275
60339,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60339,김건태,24,1991-10-02,P,R/R,185cm/85kg,광주수창초-무등중-진흥고-히어로즈-상무-히어로즈-NC,10 넥센 1라운드 2순위,2015,넥센,7.04,13,0,0,0,2,0,1,0.0,79,15 1/3,20,2,10,3,11,14,12,False,185,85,46
60342,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60342,정회찬,28,1987-02-07,P,R/R,194cm/105kg,우암초-청주중-청주기공고-원광대-히어로즈-넥센-경찰,10 넥센 2라운드 15순위,2015,넥센,9.0,1,0,0,0,0,0,0,,6,1,2,1,1,0,1,1,1,False,194,105,3
60457,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60457,김현우,27,1988-01-21,P,R/R,185cm/111kg,가동초-대치중-강릉고-한민대-삼성-상무,10 삼성 2라운드 12순위,2015,삼성,7.3,11,0,0,0,0,0,0,,55,12 1/3,14,5,5,1,14,10,10,False,185,111,37
60634,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60634,임기준,24,1991-10-08,P,L/L,182cm/86kg,광주서림초-진흥중-진흥고-(전남과학대)-KIA-경찰-KIA,10 KIA 2라운드 14순위,2015,KIA,6.62,17,0,0,1,3,0,0,0.25,175,34,39,4,27,12,26,32,25,False,182,86,102
60636,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60636,심동섭,24,1991-09-20,P,L/L,185cm/93kg,광주화정초-충장중-광주제일고-(호남대)-KIA,10 KIA 1라운드 3순위,2015,KIA,5.02,69,0,0,3,1,1,21,0.75,257,57 1/3,47,7,43,3,71,35,32,False,185,93,172
60764,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60764,김용주,24,1991-10-23,P,L/L,175cm/73kg,온양온천초-온양중-북일고-한화-상무-한화-KT,10 한화 1라운드 4순위,2015,한화,3.38,2,0,0,1,0,0,0,1.0,33,8,4,0,6,0,3,3,3,False,175,73,24
60841,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=60841,박종훈,24,1991-08-13,P,R/R,186cm/90kg,군산중앙초-군산중-군산상고-SK-상무-SK,10 SK 2라운드 9순위,2015,SK,5.19,33,0,0,6,8,0,0,0.429,530,118,123,7,53,17,105,74,68,False,186,90,354
60845,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=60845,문광은,28,1987-11-09,P,R/R,180cm/85kg,광주서림초-진흥중-진흥고-동의대-SK,10 SK 1라운드 8순위,2015,SK,6.85,53,0,0,1,5,1,11,0.167,304,64 1/3,87,13,27,4,54,55,49,False,180,85,193
